"","Scenario","Time","AGB_M","AGB_SD","SRR_M","SRR_SD","Min_rate_M","Min_rate_SD","Fungi_M","Fungi_SD","GF_M","GF_SD","Lichen_M","Lichen_SD","Aesthetic_M","Aesthetic_SD","Recreation_M","Recreation_SD","Fungi_val_M","Fungi_val_SD","Carbon_stock_M","Carbon_stock_SD","Nitrogen_stock_M","Nitrogen_stock_SD","Timber_M","Timber_SD","Tree_richness_M","Tree_richness_SD"
"1","Scenario 1",0,239.154498588797,77.8612276193921,4.39935986539137,0.18696214371535,18.324428731048,3.08561891645979,2.29338410158213,0.18299507915934,11.8028234952373,2.60351822407289,33.5850113327734,2.08345643466377,4.11113356950572,0.155869990203008,4.14762924606448,0.333912942351404,0.781009168340897,0.230295510069669,260.749451331596,52.2517276498175,598.594941380808,164.127751909076,344.991306886393,161.493069786217,21.8670574612824,4.54671072368134
"2","Scenario 1",1,242.251232450427,77.8341907252358,4.4067793327118,0.187019351232809,18.2029174081229,3.09314204379308,2.30083222162391,0.181378313546958,11.6965379941559,2.5843976726602,33.669635906423,2.05317022228382,4.11741372626468,0.155154074730946,4.16131621083942,0.330480422703357,0.789950654598307,0.232086438685056,261.658702091475,51.5891199711041,601.033626429295,164.52670479121,348.667724189536,162.250331769283,21.8670574612824,4.54671072368134
"3","Scenario 1",10,266.418115561828,75.9964158668907,4.46480887156115,0.183498872579006,17.2456429785293,3.08307986905671,2.35730543454857,0.165693213245116,10.8875135298708,2.39213268445665,34.2999814250909,1.78508907442692,4.16573223703345,0.146634942823624,4.26463405260191,0.298461945034316,0.861574805677364,0.240573361333759,277.00856176726,46.8575142519816,622.82768128528,165.008371960507,378.753640949048,165.371724409476,22.3784315144498,4.71653887951917
"4","Scenario 1",100,391.415479362667,34.1306576177765,4.76972472883595,0.0848959647057273,11.9590085224016,1.55875421001974,2.58785518706024,0.0419883029512358,7.37863767599784,0.757809850065161,36.2980949173087,0.11174506250633,4.38970768847812,0.0523880018173534,4.67040963870777,0.0711937306927527,1.30837682481558,0.151514507354396,400.997814360496,44.2818896131917,856.032656679693,188.64757596723,591.279861965313,144.917612752296,21.0139793506055,4.66826170409671
"5","Scenario 1",11,269.353587434264,75.8982876783664,4.47188750786406,0.183370448833419,17.1272591978568,3.08673145745038,2.36377842034418,0.164098983229419,10.7937233165258,2.37363867524889,34.3689808193878,1.75566411408897,4.1714383058709,0.145857486619492,4.27636066572203,0.295173350550292,0.870732115837322,0.242005454766145,279.236945686785,46.4141740605762,625.482245380422,164.969515789175,382.835386500654,165.973514182223,22.4288005982535,4.72550441262114
"6","Scenario 1",12,272.277150226757,75.7921030471861,4.47894228742633,0.183221608956987,17.0090140846188,3.0899869731579,2.37016245488349,0.162498462009032,10.7010220324574,2.35509204706241,34.436446013807,1.72619371495505,4.17709478725814,0.145069582212632,4.28790698616247,0.291881752687206,0.879928104034251,0.24340344596402,281.494085890385,45.9707425632116,628.190433975008,164.951761521695,386.941413547333,166.568713501533,22.4651782698895,4.74061033616745
"7","Scenario 1",13,275.179593091137,75.6689973052202,4.48595048952348,0.18303059243028,16.8913149103927,3.09246146894611,2.37644379907087,0.160876561895484,10.6096267377505,2.33625345356994,34.5022876932396,1.69655918134388,4.18268655294425,0.144255988720048,4.29925038050219,0.288560354650737,0.889126378870733,0.244732430349365,283.769265969508,45.5194605048654,630.917577314614,164.912687251219,391.049692861667,167.14313823086,22.4654556858204,4.73963519903847
"8","Scenario 1",14,278.051686387321,75.524949251324,4.49288950027242,0.182787206036351,16.7745590116453,3.09395747701744,2.38260671005298,0.159230325797506,10.5197786206923,2.31705370714602,34.5663784240528,1.66678455125586,4.18819760068441,0.143411492905147,4.31036370146187,0.285204746559488,0.898292711680274,0.245970789142668,286.051737359483,45.0584557325329,633.698296907415,164.887086169093,395.142927140704,167.681448554665,22.4733801321947,4.73388467753711
"9","Scenario 1",15,280.88712708062,75.3575288392862,4.49974379947106,0.1824852826365,16.6590231388005,3.0943551751773,2.3886414286424,0.157558042151455,10.4316305254106,2.29745077324012,34.6286499089667,1.63688359698111,4.19361742136846,0.142532968887855,4.32123060236595,0.281812078316444,0.90740259115754,0.24710507768734,288.333578737878,44.5851455651319,636.498462150818,164.841614570301,399.211756870106,168.178569915081,22.4870217590582,4.73007904144107
"10","Scenario 1",16,283.682537499397,75.1670719385343,4.50650503579227,0.182125496402363,16.5448580114657,3.09365877399784,2.39454316818597,0.155862300828224,10.3452580893752,2.27747426462842,34.6890725514154,1.60689933900826,4.19894057468813,0.141621820922583,4.33184346976175,0.278387289648667,0.916442475682277,0.248133916243401,290.610633207893,44.1009721178922,639.30182250205,164.799495211967,403.249246789763,168.628935444597,22.4872991749891,4.72916161592376
