"","EcoregionName","Scenario","Time","EcoregionIndex","NumSites","AGB","SRR","Min_rate","Fungi","GF","Lichen","Fungi_val","Aesthetic","Recreation","Replicate","Carbon_stock","Nitrogen_stock","Timber","Tree_richness"
"1"," eco1","Scenario 1",0,0,32,148.948,4.18399439146355,21.8105655675036,2.06661756450846,14.9945060435146,30.8974455004202,0.533702392399007,3.92400752264782,3.72795110535492,2,171.26,453.2,139.990486696479,12
"2"," eco1","Scenario 1",1,0,32,151.992,4.19112098592573,21.7028263654906,2.07608651363229,14.8632412979717,31.0196312625557,0.540127654569096,3.93108523667881,3.74606281335339,2,172.809,455,142.232927718101,12
"3"," eco1","Scenario 1",10,0,32,180.867666666667,4.25900597603711,20.661022852723,2.16228001984964,13.6708864030796,32.1261918590254,0.604466029310869,3.996737269063,3.91056504264358,2,194.126666666667,476.366666666667,167.108003837077,14
"4"," eco1","Scenario 1",100,0,32,365.679333333333,4.70554621394256,13.1457606299069,2.55842021575372,7.93186796728274,36.2955595403549,1.19102146419171,4.35107830490471,4.62035717856391,2,369.316333333333,758.3,427.937323378898,17
"5"," eco1","Scenario 1",11,0,32,184.359,4.26724839706877,20.5326345600983,2.17225664146279,13.5330040563007,32.2531894050565,0.612673488843254,4.00449080582948,3.92951566001864,2,196.956333333333,479.166666666667,170.3575577711,15
"6"," eco1","Scenario 1",12,0,32,187.842666666667,4.2754801391949,20.4040066964424,2.18211565206117,13.3967351605336,32.3783698929119,0.620957943068973,4.01218727040217,3.94821479772747,2,199.812333333333,482,173.689107146446,15.3333333333333
"7"," eco1","Scenario 1",13,0,32,191.405666666667,4.28390700767129,20.271910905279,2.19210032307888,13.258704752325,32.5047895500162,0.629530097168957,4.02001753838625,3.96712108520138,2,202.752,484.966666666667,177.099531292361,15.3333333333333
"8"," eco1","Scenario 1",14,0,32,194.949666666667,4.29229663563686,20.1399786474863,2.20193249061952,13.1227454115715,32.6288943043528,0.638156881263085,4.02776431801142,3.98570523440472,2,205.71,488.033333333333,180.511701502532,15.6666666666667
"9"," eco1","Scenario 1",15,0,32,198.547,4.30082035776182,20.0055100298592,2.21181151883905,12.9860874171313,32.7531723908936,0.647016626158063,4.03558507654787,4.00434200377427,2,208.728666666667,491.2,184.022352729125,15.6666666666667
"10"," eco1","Scenario 1",16,0,32,202.177666666667,4.30943108841539,19.8692313263757,2.22167856961318,12.8495300080634,32.8768437278634,0.656065032961676,4.04343459306837,4.02291749705442,2,211.796,494.433333333333,187.514491629433,15.6666666666667
"11"," eco1","Scenario 1",17,0,32,205.852,4.31815356172151,19.7307387248705,2.23155879950263,12.71271019743,33.0001866131621,0.665331866556466,4.05133388520936,4.04147661566502,2,214.919,497.8,191.04106527065,15.6666666666667
"12"," eco1","Scenario 1",18,0,32,209.558333333333,4.32696036489174,19.5904521022353,2.24141719204386,12.5760968205806,33.1227222042724,0.674792526752282,4.05925624526721,4.05995093861391,2,218.085,501.2,194.639614941638,15.6666666666667
"13"," eco1","Scenario 1",19,0,32,213.245,4.33572875572402,19.4503252737276,2.2511159908897,12.4415853770289,33.2427124097015,0.68431651911475,4.06709101744202,4.0780811576707,2,221.259666666667,504.7,198.253786013137,15.6666666666667
"14"," eco1","Scenario 1",2,0,32,154.825666666667,4.19776023507023,21.6021742809616,2.08483559000999,14.7420225874605,31.1324650955086,0.546168760265944,3.93764725038127,3.76279632904805,2,174.556333333333,457.1,144.146387894536,12.6666666666667
"15"," eco1","Scenario 1",20,0,32,216.939333333333,4.34452370370312,19.3093221553811,2.26072762348993,12.3081588544574,33.3610321444031,0.693974953651828,4.07489643873861,4.09600204566854,2,224.462333333333,508.233333333333,201.896033649282,15.6666666666667
"16"," eco1","Scenario 1",21,0,32,220.609666666667,4.35326977799158,19.1686544247841,2.2701702603956,12.1769410131563,33.476653851298,0.703685487946044,4.08260577645423,4.11356062343079,2,227.662333333333,511.866666666667,205.522103907961,15.6666666666667
"17"," eco1","Scenario 1",22,0,32,224.274,4.36200976616367,19.0276395865551,2.27949156172946,12.0472586869405,33.5901461785734,0.71349532767556,4.09025735621476,4.13084564574988,2,230.874,515.5,209.132258319416,15.6666666666667
"18"," eco1","Scenario 1",23,0,32,227.873666666667,4.37060349212589,18.8885526896683,2.28854548025031,11.9211363039568,33.6997288551263,0.723244952030173,4.09772998435344,4.1475874527825,2,234.058333333333,519.2,212.735256781013,15.6666666666667
"19"," eco1","Scenario 1",24,0,32,231.472,4.37920193925397,18.7489618262905,2.29749410531486,11.7963085986747,33.807360681861,0.733103825085317,4.10515628448613,4.16408693085143,2,237.256,522.933333333333,216.391214284533,16
"20"," eco1","Scenario 1",25,0,32,235.018,4.38768308352419,18.6108564315909,2.30621262137663,11.6745087998331,33.9115338422335,0.742930951997502,4.11243182603674,4.18011490684157,2,240.431333333333,526.7,220.052314653347,16
"21"," eco1","Scenario 1",26,0,32,238.591666666667,4.39623815610104,18.4711284072085,2.31489912692875,11.5529608199686,34.0146053978626,0.75294744177576,4.11972131815444,4.19603638009267,2,243.639666666667,530.566666666667,223.72555817496,16
"22"," eco1","Scenario 1",27,0,32,242.217666666667,4.40492646226187,18.3287953648502,2.32361028734126,11.430853903651,34.1172039289748,0.763227136345381,4.12707363920048,4.2119539146002,2,246.898,534.533333333333,227.462499343265,16
"23"," eco1","Scenario 1",28,0,32,245.823666666667,4.41357482407858,18.1866867346957,2.33217051044227,11.3106341553926,34.2172278568204,0.77356804825742,4.13434132057666,4.22754620375603,2,250.159333333333,538.5,231.225610474952,16
