Time,EcoregionName,EcoregionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_Leaf,C_FRoot,C_Wood,C_CRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco13, 10, 85, 0, 14362.1, 28.9, 0.2, 0.1, 0.1, 0.1, 10.21, 587.9, 0.2, 0.3, 0.1, 13.3, 3.3, 1.8, 0.4, 0.3, 0, 0, 0, 259, 420.8, 8409, 5273.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17.8, 32.4, 248.4, 278.9, 0, 0, 0, 0, 0, 1.2, -0.6, 0, 0.2, 0.03, 0.04, 0, 0, 0, 0, 587.8, 0, 0, 
0, eco14, 11, 931, 0, 13680.7, 117.9, 0.7, 0.2, 0.3, 0.4, 26.21, 586.4, 0.1, 1.6, 0.6, 53.8, 13.5, 7.2, 1.8, 0.9, 0.1, 0.1, 0, 178.4, 376.6, 7854.4, 5271.4, 0.1, 0, 0.1, 0.2, 0, 0, 0, 0, 0, 0, 12.3, 33.1, 235.4, 279, 0, 0, 0, 0, 0.1, 4, -2, 0, 0.6, 0.01, 0.01, 0, 0, 0, 0, 586, 0, 0, 
0, eco15, 12, 64, 0, 32294.6, 32.3, 0.7, 0.2, 0.2, 0.2, 26.91, 1326.2, 0.9, 0.5, 0.2, 14.7, 3.7, 2, 0.5, 0.3, 0, 0, 0, 577.1, 955.3, 18902.5, 11859.8, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 46.7, 59.5, 562.9, 630.1, 0, 0, 0, 0, 0, 2.6, -1.4, 0, 0.53, 0.13, 0.13, 0, 0, 0, 0, 1326.1, 0, 0, 
0, eco16, 13, 9462, 0, 7360.8, 10432.3, 3, 0.9, 1.1, 1.7, 30.96, 427, 0.1, 116.6, 40.8, 4790.5, 1197.6, 631.2, 235.7, 22.1, 6.2, 10.4, 1.6, 138.5, 184.9, 3893.4, 3144, 3.2, 0.7, 13.8, 14, 1.8, 2.8, 0.1, 0.3, 0.1, 0.1, 6.7, 17.5, 111.5, 223.7, 0.1, -0.5, 0.1, -0.1, 3.3, 7.6, -6.1, 0, 1.73, 0.01, 0, 0, 0, 0, 0, 390.9, 0, 0, 
0, eco17, 14, 19112, 0, 8521.5, 19947.5, 4.8, 1.4, 1.7, 2.9, 27.53, 628.5, 0.2, 85.8, 30, 9293.3, 2323.3, 1126.5, 446.3, 37.2, 7.7, 19.1, 2.1, 123.2, 345.1, 4369.9, 3683.3, 2.8, 0.5, 27.1, 27.5, 3.3, 5.3, 0.2, 0.3, 0.1, 0.1, 6.5, 35.7, 159.5, 332, 0.2, -0.7, 0.1, 0.1, 5.6, 13.1, -10.5, 0, 1.73, 0, 0, 0, 0, 0.1, 0, 562, 0, 0, 
0, eco18, 15, 12495, 0, 4028, 7033.3, 3.5, 1, 1.3, 2, 22, 270.2, 0.2, 80.1, 28, 3227.8, 807, 428.9, 162.8, 14.8, 4.6, 7.7, 1.1, 64.9, 113.4, 2190.2, 1659.6, 2.2, 0.5, 9.3, 9.4, 1.2, 1.9, 0.1, 0.2, 0, 0.1, 4.6, 10.8, 77, 131, 0.1, -0.4, 0, 0, 2.2, 5.8, -4.1, 0, 2.03, 0.01, 0, 0, 0, 0.1, 0, 245.8, 0, 0, 
0, eco19, 16, 5680, 0, 8402.8, 8576.9, 4.3, 1.2, 1.6, 2.5, 32.89, 583.8, 0.2, 64.6, 22.6, 3968.6, 992.2, 501.3, 194.8, 17, 4.3, 8.7, 1.1, 140.9, 247.6, 4644.5, 3369.7, 1.8, 0.4, 11.5, 11.7, 1.4, 2.3, 0.1, 0.2, 0, 0.1, 11.6, 25.1, 187.9, 296.8, 0.1, -0.4, 0, 0, 2.6, 7, -4.8, 0, 1.86, 0.01, 0, 0, 0, 0.1, 0, 554.7, 0, 0, 
0, eco20, 17, 237, 0, 7462.3, 1907.7, 3.2, 0.9, 1.2, 1.7, 4.02, 360.8, 0.2, 19, 6.6, 878.6, 219.7, 111, 43.2, 3.6, 1.2, 2, 0.3, 148.6, 219.8, 4352.2, 2741.6, 0.6, 0.1, 2.8, 2.7, 0.3, 0.5, 0, 0, 0, 0, 14.3, 14.6, 146.6, 174, 0, -0.1, 0, 0, 0.7, 1.6, -1.2, 0, 1.72, 0.03, 0.02, 0, 0, 0, 0, 353.7, 0, 0, 
0, eco21, 18, 201, 0, 4671.3, 17143, 18.3, 5.2, 6.7, 10.4, 13.11, 312.8, 0.8, 178.6, 62.5, 7884, 1971, 1023.2, 374.5, 36.3, 10.6, 16, 2.2, 84.1, 127.8, 2624.3, 1835, 4.8, 1, 22.3, 22.3, 2.9, 4.2, 0.2, 0.4, 0.1, 0.1, 2.9, 13.6, 70.1, 154.7, 0.2, -0.9, 0.1, 0, 5.6, 12.8, -10.2, 0, 7.27, 0.08, 0.02, 0, 0, 0.3, 0.1, 255.3, 0, 0, 
0, eco22, 19, 1962, 0, 13460.4, 13059.5, 4.3, 1.2, 1.6, 2.5, 9.01, 893.9, 0.2, 65, 22.7, 6075.3, 1518.8, 752.1, 282.2, 25.7, 5.7, 11, 1.3, 259.5, 399.7, 7672.6, 5128.6, 1.9, 0.4, 17.8, 17.4, 2.2, 3.2, 0.1, 0.3, 0.1, 0.1, 20.9, 40.5, 304.4, 475.6, 0.1, -0.5, 0.1, 0, 3.8, 8.6, -7.2, 0, 1.71, 0.01, 0.01, 0, 0, 0.1, 0, 851, 0, 0, 
